Tanggal;Hujan
2016-10-29;0.84
2016-10-30;0.6
2016-10-31;0.18
2016-11-01;0.02
2016-11-02;0.1
2016-11-03;0.01
2016-11-04;0.46
2016-11-05;2.64
2016-11-06;0.98
2016-11-07;0.32
2016-11-08;4.33
2016-11-09;16.2
2016-11-10;3.6
2016-11-11;14.6
2016-11-12;11.77
2016-11-13;5.42
2016-11-14;1.05
2016-11-15;7.58
2016-11-16;10.29
2016-11-17;10.16
2016-11-18;2.16
2016-11-19;0.28
2016-11-20;4.33
2016-11-21;2.66
2016-11-22;1.31
2016-11-23;5.59
2016-11-24;6.86
2016-11-25;13.01
2016-11-26;5.99
2016-11-27;7.18
2016-11-28;8.27
2016-11-29;0.88
2016-11-30;15.26
2016-12-01;5.84
2016-12-02;22.47
2016-12-03;4.5
2016-12-04;2.47
2016-12-05;12.38
2016-12-06;6.14
2016-12-07;5.92
2016-12-08;1.07
2016-12-09;9.46
2016-12-10;4.41
2016-12-11;4.39
2016-12-12;1.59
2016-12-13;5.8
2016-12-14;4.79
2016-12-15;11.77
2016-12-16;6.9
2016-12-17;0.93
2016-12-18;1.24
2016-12-19;15.69
2016-12-20;3.45
2016-12-21;4.29
2016-12-22;0.77
2016-12-23;2.89
2016-12-24;0.93
2016-12-25;1.54
2016-12-26;20.81
2016-12-27;50.85
2016-12-28;1.76
2016-12-29;29.72
2016-12-30;51.7
2016-12-31;6.82
2017-01-01;19.8
2017-01-02;12.4
2017-01-03;6.59
2017-01-04;3.94
2017-01-05;1.25
2017-01-06;1.39
2017-01-07;0.35
2017-01-08;0.64
2017-01-09;3.35
2017-01-10;2.29
2017-01-11;1.21
2017-01-12;38.92
2017-01-13;57.65
2017-01-14;31.2
2017-01-15;30.15
2017-01-16;7.12
2017-01-17;6.13
2017-01-18;1.06
2017-01-19;18.45
2017-01-20;11.42
2017-01-21;37.3
2017-01-22;10.91
2017-01-23;36.32
2017-01-24;3.87
2017-01-25;6.15
2017-01-26;9.09
2017-01-27;8.37
2017-01-28;17.37
2017-01-29;19.6
2017-01-30;5.42
2017-01-31;7.64
2017-02-01;43.91
2017-02-02;9.51
2017-02-03;15.67
2017-02-04;4.55
2017-02-05;0.32
2017-02-06;2.41
2017-02-07;2.88
2017-02-08;4.42
2017-02-09;8.55
2017-02-10;4.83
2017-02-11;5.63
2017-02-12;8.75
2017-02-13;4.62
2017-02-14;23.77
2017-02-15;19.87
2017-02-16;21.55
2017-02-17;19.77
2017-02-18;7.12
2017-02-19;3.83
2017-02-20;4.18
2017-02-21;2.4
2017-02-22;2.94
2017-02-23;0.69
2017-02-24;5.05
2017-02-25;5.49
2017-02-26;1.11
2017-02-27;25.29
2017-02-28;10.84
2017-03-01;3.59
2017-03-02;2.26
2017-03-03;11.97
2017-03-04;4.32
2017-03-05;0.41
2017-03-06;3.39
2017-03-07;2.9
2017-03-08;0.58
2017-03-09;0.35
2017-03-10;2.13
2017-03-11;3.92
2017-03-12;40.22
2017-03-13;11.77
2017-03-14;6
2017-03-15;8.1
2017-03-16;8.29
2017-03-17;5.98
2017-03-18;1.42
2017-03-19;5.43
2017-03-20;10.39
2017-03-21;3.95
2017-03-22;1.03
2017-03-23;0.64
2017-03-24;0.69
2017-03-25;8.98
2017-03-26;46.76
2017-03-27;5
2017-03-28;3.2
2017-03-29;0.53
2017-03-30;0.32
2017-03-31;8.96
2017-04-01;1.89
2017-04-02;5.28
2017-04-03;7.6
2017-04-04;14.95
2017-04-05;8.52
2017-04-06;6.41
2017-04-07;1.59
2017-04-08;15.95
2017-04-09;3.32
2017-04-10;0.22
2017-04-11;2.42
2017-04-12;0.64
2017-04-13;6.51
2017-04-14;10.37
2017-04-15;2.89
2017-04-16;0.11
2017-04-17;16.29
2017-04-18;20.18
2017-04-19;1.47
2017-04-20;25.41
2017-04-21;11.77
2017-04-22;1.24
2017-04-23;0.61
2017-04-24;3.09
2017-04-25;2.17
2017-04-26;5.49
2017-04-27;0.08
2017-04-28;0.8
2017-04-29;17.87
2017-04-30;21.89
2017-05-01;4.37
2017-05-02;2.28
2017-05-03;5.81
2017-05-04;1.14
2017-05-05;23.01
2017-05-06;11.91
2017-05-07;0.21
2017-05-08;16.78
2017-05-09;9.84
2017-05-10;0.01
2017-05-11;0
2017-05-12;0.8
2017-05-13;0.09
2017-05-14;0
2017-05-15;0
2017-05-16;0.59
2017-05-17;0.04
2017-05-18;0
2017-05-19;0
2017-05-20;0
2017-05-21;0
2017-05-22;0
2017-05-23;0
2017-05-24;0
2017-05-25;0.08
2017-05-26;1.34
2017-05-27;0.85
2017-05-28;13.6
2017-05-29;14.07
2017-05-30;5.24
2017-05-31;4.03
2017-06-01;6.92
2017-06-02;2.11
2017-06-03;0.1
2017-06-04;0
2017-06-05;0.18
