Tanggal;Hujan
19/10/2016;0,48
20/10/2016;0,19
21/10/2016;0,49
22/10/2016;4,83
23/10/2016;30,12
24/10/2016;8,52
25/10/2016;0,76
26/10/2016;1,18
27/10/2016;9,27
28/10/2016;12,1
29/10/2016;0,84
30/10/2016;0,6
31/10/2016;0,18
01/11/2016;0,02
02/11/2016;0,1
03/11/2016;0,01
04/11/2016;0,46
05/11/2016;2,64
06/11/2016;0,98
07/11/2016;0,32
08/11/2016;4,33
09/11/2016;16,2
10/11/2016;3,6
11/11/2016;14,6
12/11/2016;11,77
13/11/2016;5,42
14/11/2016;1,05
15/11/2016;7,58
16/11/2016;10,29
17/11/2016;10,16
18/11/2016;2,16
19/11/2016;0,28
20/11/2016;4,33
21/11/2016;2,66
22/11/2016;1,31
23/11/2016;5,59
24/11/2016;6,86
25/11/2016;13,01
26/11/2016;5,99
27/11/2016;7,18
28/11/2016;8,27
29/11/2016;0,88
30/11/2016;15,26
01/12/2016;5,84
02/12/2016;22,47
03/12/2016;4,5
04/12/2016;2,47
05/12/2016;12,38
06/12/2016;6,14
07/12/2016;5,92
08/12/2016;1,07
09/12/2016;9,46
10/12/2016;4,41
11/12/2016;4,39
12/12/2016;1,59
13/12/2016;5,8
14/12/2016;4,79
15/12/2016;11,77
16/12/2016;6,9
17/12/2016;0,93
18/12/2016;1,24
19/12/2016;15,69
20/12/2016;3,45
21/12/2016;4,29
22/12/2016;0,77
23/12/2016;2,89
24/12/2016;0,93
25/12/2016;1,54
26/12/2016;20,81
27/12/2016;50,85
28/12/2016;1,76
29/12/2016;29,72
30/12/2016;51,7
31/12/2016;6,82
01/01/2017;19,8
02/01/2017;12,4
03/01/2017;6,59
04/01/2017;3,94
05/01/2017;1,25
06/01/2017;1,39
07/01/2017;0,35
08/01/2017;0,64
09/01/2017;3,35
10/01/2017;2,29
11/01/2017;1,21
12/01/2017;38,92
13/01/2017;57,65
14/01/2017;31,2
15/01/2017;30,15
16/01/2017;7,12
17/01/2017;6,13
18/01/2017;1,06
19/01/2017;18,45
20/01/2017;11,42
21/01/2017;37,3
22/01/2017;10,91
23/01/2017;36,32
24/01/2017;3,87
25/01/2017;6,15
26/01/2017;9,09
27/01/2017;8,37
28/01/2017;17,37
29/01/2017;19,6
30/01/2017;5,42
31/01/2017;7,64
01/02/2017;43,91
02/02/2017;9,51
03/02/2017;15,67
04/02/2017;4,55
05/02/2017;0,32
06/02/2017;2,41
07/02/2017;2,88
08/02/2017;4,42
09/02/2017;8,55
10/02/2017;4,83
11/02/2017;5,63
12/02/2017;8,75
13/02/2017;4,62
14/02/2017;23,77
15/02/2017;19,87
16/02/2017;21,55
17/02/2017;19,77
18/02/2017;7,12
19/02/2017;3,83
20/02/2017;4,18
21/02/2017;2,4
22/02/2017;2,94
23/02/2017;0,69
24/02/2017;5,05
25/02/2017;5,49
26/02/2017;1,11
27/02/2017;25,29
28/02/2017;10,84
01/03/2017;3,59
02/03/2017;2,26
03/03/2017;11,97
04/03/2017;4,32
05/03/2017;0,41
06/03/2017;3,39
07/03/2017;2,9
08/03/2017;0,58
09/03/2017;0,35
10/03/2017;2,13
11/03/2017;3,92
12/03/2017;40,22
13/03/2017;11,77
14/03/2017;6
15/03/2017;8,1
16/03/2017;8,29
17/03/2017;5,98
18/03/2017;1,42
19/03/2017;5,43
20/03/2017;10,39
21/03/2017;3,95
22/03/2017;1,03
23/03/2017;0,64
24/03/2017;0,69
25/03/2017;8,98
26/03/2017;46,76
27/03/2017;5
28/03/2017;3,2
29/03/2017;0,53
30/03/2017;0,32
31/03/2017;8,96
01/04/2017;1,89
02/04/2017;5,28
03/04/2017;7,6
04/04/2017;14,95
05/04/2017;8,52
06/04/2017;6,41
07/04/2017;1,59
08/04/2017;15,95
09/04/2017;3,32
10/04/2017;0,22
11/04/2017;2,42
12/04/2017;0,64
13/04/2017;6,51
14/04/2017;10,37
15/04/2017;2,89
16/04/2017;0,11
17/04/2017;16,29
18/04/2017;20,18
19/04/2017;1,47
20/04/2017;25,41
21/04/2017;11,77
22/04/2017;1,24
23/04/2017;0,61
24/04/2017;3,09
25/04/2017;2,17
26/04/2017;5,49
27/04/2017;0,08
28/04/2017;0,8
29/04/2017;17,87
30/04/2017;21,89
01/05/2017;4,37
02/05/2017;2,28
03/05/2017;5,81
